scientific_name,common_name,category,growth_habit,height_mature_ft,shade_tolerance,notes,usda_hardiness_zone,water,catalog_source
Viburnum trilobum,American Highbush Cranberry,berry,shrub fruit,12.0,full,"American highbush cranberry is a native Viburnum — not a true cranberry — bearing clusters of bright red, tart berries in fall that persist on the shrub into winter, providing critical food for wildlife during cold months. The berries have a distinct musky aroma when raw that largely disappears with cooking; they are high in pectin and excellent for jellies, sauces, and syrups as a cranberry substitute. Do not confuse with the European cranberrybush (V. opulus), which produces lower-quality, more bitter fruit. Prune out the oldest canes at the base every 3–4 years to maintain vigor and an open, multi-stemmed form.",2-7,moderate,OpenPlantDB (CC0)
Viburnum opulus var. americanum,American Highbush Cranberry,berry,native shrub,12.0,partial,"Root softwood cuttings in summer or plant container specimens in moist, well-drained, slightly acidic to neutral soil in full sun to partial shade, planting at least two shrubs to ensure cross-pollination; American highbush cranberry is not a true cranberry but a native viburnum that produces bright red, translucent, cranberry-sized berries in clusters from fall through winter that birds love and that can be made into preserves, sauces, and jellies with a flavor resembling true cranberries. The lacy white flower clusters in late spring are attractive, and the three-lobed leaves turn brilliant red-purple in fall. Plants are also important wildlife habitat shrubs for nesting birds. The native var. americanum is preferred over the European V. opulus (which escaped and has naturalized invasively in some areas).",2-7,moderate,OpenPlantDB (CC0)
Elaeagnus commutata,American Silverberry (Wolf Willow),berry,native nitrogen-fixing shrub,12.0,full,"Set out rooted suckers or container plants in spring on poor, sandy, or saline ground where its vigorous, nitrogen-fixing roots and suckering habit can be left to spread without crowding cultivated beds. This silvery-leaved North American native tolerates conditions few other fruiting shrubs can, needing no supplemental fertility once established. Small, fragrant yellow flowers in early summer give way to silvery, mealy berries that ripen in fall and are used for jam, drying, and winter forage for birds. Unlike the related autumn olive and Russian olive, American silverberry is a true native across most of its range and behaves far less aggressively, making it a sound choice for windbreaks, erosion control, and reclamation plantings.",2-6,low,OpenPlantDB (CC0)
Rubus idaeus 'Anne',Anne Golden Raspberry,berry,bramble,6.0,full,"'Anne' produces exceptionally large, pale-yellow fall-bearing berries with a sweet, apricot-like flavor. Grow in rich, moisture-retentive soil and support the tall canes with a two-wire trellis to keep fruit off the ground. As a primocane variety it can be mown down each winter for a single autumn crop, simplifying pruning. The soft golden fruit does not ship well, making it an ideal home-garden and fresh-eating selection.",4-8,moderate,OpenPlantDB (CC0)
Rubus 'Arapaho',Arapaho Blackberry,berry,bramble,5.0,full,"'Arapaho' is an early-ripening erect thornless blackberry with medium-large berries containing small, unobtrusive seeds. Its self-supporting canes need minimal trellising, making it well suited to compact plantings and home gardens. Grow in full sun in well-drained soil and provide even moisture during the fruiting period for best size and flavor. Remove floricanes after harvest and thin new canes to five or six vigorous shoots per plant.",6-10,moderate,OpenPlantDB (CC0)
Actinidia kolomikta,Arctic Kiwi / Kolomikta Kiwi,berry,vine fruit,15.0,partial,"Actinidia kolomikta is the hardiest kiwi species, tolerating temperatures to -40°F in zone 3, and is grown for its small (1 in), sweet, smooth-skinned fruits that ripen in late summer. The vine is ornamentally striking due to pink-and-white variegated foliage on male plants. It is dioecious and requires both male and female plants — one male per 4–6 females. Cats are intensely attracted to the plants and will damage young vines, so protect new plantings with wire cages. Prune each dormant season to maintain a framework of lateral arms on a sturdy arbor or fence.",3-8,moderate,OpenPlantDB (CC0)
Aronia melanocarpa,Aronia / Chokeberry,berry,shrub fruit,6.0,full,"Aronia is exceptionally hardy and tolerates wet, poorly drained soils, making it suitable for rain gardens. It is self-fruitful and rarely needs a pollinator, though yields improve with a second plant nearby. Prune by removing the oldest, thickest canes at the base every 3–4 years to encourage vigorous new growth and better light penetration. Harvest clusters in late summer when berries are very dark purple-black; the astringent flavor mellows after a light frost or processing.",3-8,low,OpenPlantDB (CC0)
Vaccinium corymbosum 'Aurora',"Aurora Blueberry (Very Late Season Northern Highbush Blueberry, Season-Extender Blueberry)",berry,blueberry,7.0,full,"Plant in very acidic, well-drained, humus-rich soil; maintain pH 4.5–5.2 with acid fertilizer; mulch with pine bark; Aurora ripens very late (late August through September) producing large, firm, light blue berries with outstanding flavor — considered by MSU researchers to have among the best flavor of any northern highbush variety; plant early-season varieties (Duke, Bluecrop) alongside for cross-pollination and a full-season harvest. Aurora blueberry is a Michigan State University-released variety (2003) that has become highly regarded among serious home blueberry growers and specialty producers for its combination of very late ripening season and exceptional berry quality. The variety was specifically developed as part of MSU's late-season breeding program aimed at extending the Michigan commercial blueberry season into September, reducing market glut during the peak July–August production and commanding higher prices for September-ripening fruit. Aurora ripens the latest of any major highbush blueberry variety — typically 4–6 weeks after early-season varieties like Duke and 2–3 weeks after Jersey (itself a late variety), making September fresh blueberries possible in zones 4–6 where frost would otherwise end the season. The berries are large to very large, firm (excellent handling and shelf life for a highbush variety), and have a notably good flavor — sweet, aromatic, and complex — that is consistently rated among the best of all highbush varieties in blind flavor tastings. The very firm texture also makes Aurora berries excellent for fresh eating (they snap satisfyingly rather than bursting), baking, and freezing. An excellent choice for home orchardists wanting to extend fresh blueberry season as late as possible into autumn.",4-7,moderate,OpenPlantDB (CC0)
Lonicera caerulea 'Aurora',Aurora Honeyberry (Late-Season University of Saskatchewan Haskap),berry,shrub fruit,6.0,full,"Plant two or more compatible cultivars in well-drained, slightly acidic soil in full sun for cross-pollination, since Aurora is self-infertile. Aurora was released by the University of Saskatchewan fruit breeding program, the leading haskap breeding program in North America, and is valued for its large, elongated berries with a sweet, well-balanced flavor closer to blueberry than the tart, sometimes bitter flavor of earlier haskap introductions. It blooms and ripens later than earlier-generation cultivars like 'Borealis', which helps the flowers dodge late spring frosts, and the fruit holds on the bush longer without dropping, extending the harvest window. Like other haskaps, Aurora is extremely cold-hardy, tolerating winter temperatures to -40F and flowers that survive down to about -8F, but it is poorly suited to hot, humid climates and performs best in short-season, cold-winter regions. Fruit is borne on second-year and older wood, so limit pruning to removing dead or crossing branches for the first three to four years, then begin renewal pruning of the oldest canes.",2-7,moderate,OpenPlantDB (CC0)
Vaccinium ashei 'Austin',Austin Blueberry,berry,blueberry,10.0,full,"Amend soil to a strongly acidic pH 4.5–5.0 with peat moss or sulfur before planting; Austin is a rabbiteye blueberry released by the University of Georgia breeding program, selected as an early-to-midseason ripening variety that fills the harvest window alongside Climax, extending the picking season before the midseason varieties come on. Berries are medium-large, light blue, and firm with good flavor, borne on vigorous, upright, productive bushes that establish quickly. Like all rabbiteye blueberries, Austin is not self-fruitful and should be planted with at least one other compatible variety within about 50 feet for cross-pollination and full crops. Remove flower buds the first year or two after planting to direct the plant's energy into root and cane development rather than fruit; full production typically begins by year four. Mulch generously with pine bark or pine straw to conserve moisture and maintain soil acidity, and irrigate consistently during fruit swell, since rabbiteye blueberries have shallow, fibrous roots that dry out quickly in Gulf Coast heat.",7-9,moderate,OpenPlantDB (CC0)
Vaccinium virgatum 'Austin',Austin Rabbiteye Blueberry,berry,blueberry,10.0,full,"Plant in acidic soil (pH 4.5-5.2) amended with pine bark or peat and mulch heavily to keep roots cool and moist. Austin is a University of Georgia-released rabbiteye blueberry that ripens just after Climax in the early part of the season, producing medium-to-large, firm, light-blue berries with good flavor on a vigorous, upright bush. It extends the early harvest window when planted alongside Climax and Premier, and its dependable, heavy cropping habit combined with good disease tolerance has made it a standard early-season choice for Gulf South home orchards and u-pick plantings. Fertilize lightly with an acid-forming fertilizer in early spring and again after harvest, and prune out old, unproductive canes each winter to keep the bush renewing vigorous new fruiting wood.",7-9,moderate,OpenPlantDB (CC0)
Aronia melanocarpa 'Autumn Magic',Autumn Magic Aronia (Compact Ornamental Black Chokeberry),berry,shrub fruit,5.0,partial,"Plant in moist, well-drained to wet soil in full sun to partial shade; Autumn Magic is a compact black chokeberry cultivar selected primarily for landscape use, staying notably smaller and more rounded than seed-grown Aronia melanocarpa while still producing a good crop of glossy black, antioxidant-rich berries. The shrub is a genuine multi-season landscape plant: clusters of white flowers in spring, clean dark green summer foliage, and some of the most vivid red-purple fall color of any Aronia selection, making it a strong choice for a foundation planting or mixed border that also happens to produce useful fruit. Berries are highly astringent eaten raw and are best processed into juice, syrup, or dried additions to baked goods and trail mixes. The self-fertile, adaptable shrub tolerates wet or dry soils and both full sun and considerable shade, and needs only occasional renewal pruning of the oldest stems to stay dense and well-shaped.",3-8,moderate,OpenPlantDB (CC0)
Elaeagnus umbellata,Autumn Olive,berry,shrub fruit,15.0,full,"Autumn olive is a nitrogen-fixing Asian shrub with extremely high yields of small red-speckled berries that are rich in lycopene and have a sweet-tart flavor; it is among the most productive fruiting shrubs per acre in temperate climates. However, it is considered an invasive species across much of the eastern U.S. and is prohibited or discouraged in many states — verify legal status in your jurisdiction before planting. Named fruit-producing selections such as 'Garnet' or 'Red Wing' are more compact and productive than seedlings. Harvest by hand-stripping clusters in fall when berries are fully red; fruit quality improves after light frost.",3-8,low,OpenPlantDB (CC0)
Vaccinium corymbosum interspecific hybrid 'Avonblue',Avonblue Southern Highbush Blueberry (Early Florida-Bred Blueberry),berry,blueberry,5.5,full,"Set out dormant, container-grown bushes in winter into acidic soil (pH 4.5-5.2) heavily amended with pine bark or peat moss, and mulch to keep the shallow root zone cool and evenly moist. Avonblue is one of the older University of Florida southern highbush releases and remains valued for its dependable early ripening, largely self-fruitful flowers, and tolerance of Florida's sandy, warm-winter growing conditions. Berries are medium-sized, light blue, and mildly tart, produced on a moderately compact, rounded bush well suited to smaller home garden plantings. Feed with an acid-forming fertilizer in early spring, water deeply during dry spells, and prune out old unproductive wood each winter to keep the bush renewing itself.",8-10,moderate,OpenPlantDB (CC0)
Vaccinium virgatum 'Baldwin',Baldwin Rabbiteye Blueberry (Late-Season Firm-Fruited Blueberry),berry,blueberry,9.0,full,"Amend soil to pH 4.5–5.0 with peat or elemental sulfur before planting, and mulch heavily with pine bark or pine straw to maintain the acidic, moisture-retentive conditions rabbiteye blueberries need. Baldwin is a University of Georgia rabbiteye release valued for ripening quite late in the season, extending the blueberry harvest well past earlier cultivars, with small to medium, firm, dark blue berries that hold their shape and flavor well, making them useful for fresh eating, freezing, and machine harvest alike. The plant is vigorous, productive, and well adapted to the acidic, sandy soils typical of the Gulf South, requiring a second compatible rabbiteye variety nearby for good cross-pollination and fruit set. Prune out the oldest, least productive canes each winter to keep the bush renewing itself with vigorous new fruiting wood.",7-9,moderate,OpenPlantDB (CC0)
Prunus maritima,Beach Plum,berry,shrub fruit,8.0,full,"Beach plum is a native Atlantic coastal shrub that thrives in sandy, salt-spray-exposed sites where few other fruits survive, making it invaluable for coastal and xeric gardens. The small (0.5–1 in), round fruits range from red to purple to blue at maturity in late summer and are traditionally used for preserves and jams on Cape Cod and Long Island. Plant at least two named cultivars such as 'Autumn' and 'Premier' for adequate cross-pollination, as seedlings are variable and often infertile. Prune lightly after flowering to maintain shape; heavy pruning reduces fruiting the following year.",3-7,low,OpenPlantDB (CC0)
Gaylussacia ursina,Bear Huckleberry,berry,native deciduous shrub,7.0,partial,"Plant in moist, humus-rich, strongly acidic (pH 4.5-5.5), well-drained to moderately moist soil in partial shade; bear huckleberry is a deciduous native shrub of the high-elevation Appalachian forests from North Carolina to Tennessee, naturally growing in the understory beneath oaks, hemlocks, and rhododendrons. The shiny black berries ripen in late summer and are eaten by bears (which explains the common name), black bears being primary dispersers in its mountain habitat. The berries are edible by humans as well — sweet and flavorful, similar to blueberries but with a distinctive tang. Like all huckleberries, the plant is challenging to cultivate outside its specific acidic, woodland conditions; it does not tolerate alkaline soil, dry soil, or full sun. Excellent for native woodland gardens in the southern mountains.",5-8,moderate,OpenPlantDB (CC0)
Vaccinium virgatum 'Beckyblue',Beckyblue Rabbiteye Blueberry (Early-Season Florida Blueberry),berry,blueberry,9.0,full,"Plant in acidic, well-drained soil (pH 4.5-5.2) amended with pine bark or peat, in full sun with a compatible early-season pollinator nearby. Beckyblue is a University of Florida-released rabbiteye blueberry bred specifically for the low winter chill of the Deep South and Florida, ripening among the earliest of the rabbiteye cultivars and giving Gulf Coast growers a jump on the blueberry season. Berries are medium-sized, light blue, and pleasantly mild-flavored, borne on a vigorous, spreading bush. Because it flowers early, plant it in a site with reasonable air drainage to reduce frost risk to the blooms in years with a late cold snap. Fertilize lightly with acid-forming fertilizer in early spring, mulch well to conserve moisture, and prune out old wood each winter to sustain strong early yields.",7-9,moderate,OpenPlantDB (CC0)
Vaccinium corymbosum 'Berkeley',Berkeley Blueberry,berry,classic large light-blue highbush blueberry,6.0,full,"Grow in full sun on well-drained, acidic soil and mulch with pine bark or sawdust to hold moisture around the shallow, fibrous root system. Berkeley is an older, widely planted mid-season highbush cultivar valued for large, firm, pale sky-blue berries with a mild, sweet flavor and good resistance to cracking. Its spreading, vigorous bushes are heavy and reliable producers over a long lifespan, and the plant also offers attractive orange-red fall foliage. Because it dislikes waterlogged soil, raised beds or amended rows are worthwhile on heavier ground.",4-8,moderate,OpenPlantDB (CC0)
Lonicera caerulea 'Berry Blue',Berry Blue Honeyberry,berry,shrub fruit,4.0,full,"Plant two or more compatible cultivars in well-drained, slightly acidic soil in full sun for cross-pollination, since Berry Blue is not reliably self-fertile. This is one of the earlier commercially available honeyberry cultivars in North America, forming a compact, tidy bush well suited to small gardens and mixed borders, with round-to-oval berries that ripen a bit later than the earliest University of Saskatchewan releases, helping spread out the harvest window when several cultivars are planted together. Flavor is tart with a mild blueberry-like undertone, better suited to jam, syrup, and baking than to fresh eating for most palates, though fully ripe fruit sweetens considerably. Berry Blue is extremely cold-hardy, tolerating winters well below -30F, but struggles in hot, humid summer climates and is a poor match for zone 8-10 gardens. As with other haskaps, avoid heavy pruning in the first several years and then renew the oldest wood periodically to keep the bush productive.",2-7,moderate,OpenPlantDB (CC0)
Lycium barbarum 'Big Lifeberry',Big Lifeberry Goji (Large-Fruited Compact Patio Goji),berry,shrub fruit,5.0,full,"Plant in well-drained loam with a pH of 6.5–8.0 in full sun; goji tolerates poor, alkaline soils where other fruiting shrubs struggle. Big Lifeberry is a modern breeding-program goji selection producing notably larger berries than seed-grown goji, on a more compact, better-branched plant that fruits at a younger age and fits large containers as well as garden beds. Its bushier, less sprawling habit than wild-type goji makes it easier to manage without the loose, arching growth typical of the species. Prune lightly after fruiting to maintain shape and encourage new fruiting laterals; harvest ripe berries by gently rolling the stem between your fingers rather than pulling on the fruit directly, since the sap can stain.",5-10,low,OpenPlantDB (CC0)
Vaccinium myrtillus,Bilberry,berry,shrub fruit,2.0,partial,"Bilberry is a low-growing European relative of blueberry that differs in producing berries singly rather than in clusters; the deep purple-red flesh (unlike blueberry's white flesh) stains heavily and has an intense, slightly tart flavor. It demands strongly acidic soil (pH 4.0–5.0) with high organic matter and cool, moist conditions, making it challenging to grow in most American gardens but worth attempting in zones 3–7 under high shade or at elevation. Minimal pruning is needed; shear plants lightly every 3–4 years to rejuvenate. Harvest in mid- to late summer when berries are fully dark blue-black and tender.",3-7,moderate,OpenPlantDB (CC0)
Vaccinium corymbosum 'Biloxi',Biloxi Blueberry,berry,blueberry,7.0,full,"Plant in full sun in very acidic (pH 4.5–5.5), organically rich, well-drained, sandy soil; Biloxi is a very low-chill-hour southern highbush blueberry developed by USDA and Mississippi State University, requiring only 150–200 chill hours — among the lowest chilling requirements of any productive blueberry and making it suitable for the warmest areas of zone 9 and parts of zone 10. The medium-sized, light blue, firm berries ripen in April–May in zone 9 — among the earliest-ripening blueberries of the season — with a mild, sweet, and slightly tart flavor. The early ripening window allows Biloxi to produce before summer heat stresses the plant and before peak blueberry pressure from insects and birds. The vigorous, upright plant habit is well-adapted to Gulf Coast conditions. Biloxi was tested and released as a variety specifically suited to the Gulf South and Florida, giving it a track record of success in the climate conditions that characterize zone 9a and 9b.",7-10,moderate,OpenPlantDB (CC0)
Vitis rotundifolia 'Black Beauty',Black Beauty Muscadine Grape,berry,grape,8.0,full,"Plant in fertile, well-drained soil in full sun and train onto a wire trellis or arbor. Black Beauty is a University of Arkansas release bred specifically for fresh-market eating, producing very large, glossy black berries with a tender skin and mild, sweet flavor that is less musky than many older muscadine varieties. It is self-fertile and does not require a pollinizer, though nearby vines improve fruit set. Vigor is strong and disease resistance is good across the humid Gulf South. Because berries ripen unevenly over several weeks rather than all at once, plan on repeated picking passes through the harvest season for the best quality fruit.",7-10,low,OpenPlantDB (CC0)
Rubus 'Black Butte',Black Butte Blackberry (Oregon State Extra-Large-Fruited Bramble),berry,bramble,6.0,full,"Plant dormant canes in well-drained, fertile soil and train the trailing, thorny canes onto a trellis, pruning out fruited floricanes each year after harvest to keep new primocanes productive. Black Butte was released by the Oregon State University blackberry breeding program in the 1980s and is best known among Pacific Northwest growers for producing exceptionally large fruit, with individual berries often noticeably bigger than those of Marionberry or most other trailing types. The berries ripen early in the trailing-blackberry season, are glossy black with good flavor, and their large size makes hand-picking notably faster than with smaller-fruited varieties. Because the canes are thorny and quite vigorous, Black Butte requires the same sturdy trellising and winter pruning used for other trailing blackberries grown in maritime climates.",6-9,moderate,OpenPlantDB (CC0)
Aronia melanocarpa,Black Chokeberry,berry,native fruiting shrub,6.0,partial,"Plant container or bare-root stock in spring or fall in virtually any soil — moist or dry, acidic or neutral, clay or sand — in partial shade to full sun; black chokeberry is one of the most adaptable native shrubs in North America, thriving under conditions that defeat most other fruiting shrubs. Aronia melanocarpa produces stunning clusters of small white flowers with prominent pink anthers in May, glossy, dark-green summer foliage, and massive clusters of small, dark-purple to near-black berries in August and September that persist into winter; the berries are extremely high in anthocyanins and antioxidants — among the highest recorded for any fruit — with an astringent, tart flavor excellent for juices, syrups, and wine. Fall foliage is a brilliant scarlet-red. The plant is essentially bulletproof once established, tolerating wet soils, clay, drought, and partial shade; it spreads by root suckers into dense thickets over time.",3-8,moderate,OpenPlantDB (CC0)
Ribes nigrum,Black Currant,berry,shrub fruit,5.0,partial,"Black currants fruit most heavily on one-year-old wood, so annual renewal pruning is critical: remove one-third of the oldest canes each late winter to stimulate vigorous new shoots. The berries have a strong, tannic flavor prized for jams and juices; harvest when the entire strig has turned glossy black. Choose blister-rust-resistant cultivars such as 'Consort' or 'Titania' where regulations permit. Verify local restrictions before planting.",3-6,moderate,OpenPlantDB (CC0)
Sambucus nigra,"Black Elderberry (European Elderberry, Elder)",berry,deciduous fruiting shrub,15.0,partial,"Plant in moist, humus-rich, moderately fertile, slightly acidic to neutral soil in full sun to part shade; prune hard in late winter to maintain shape and vigor. Sambucus nigra (black elderberry or European elder) is the classic European elder — a fast-growing, multi-stemmed deciduous shrub or small tree long cultivated for its remarkable botanical generosity: in late spring it produces large, flat-topped, highly fragrant clusters (corymbs) of tiny, cream-white flowers with a distinctive musky-lychee-pear elderflower fragrance; by late summer these transform into heavy, drooping clusters of small (1/4-inch), jet-black, glistening berries. Both flowers and berries are culinary staples in English and Scandinavian cooking: elderflower cordial (steeped flowers, sugar, lemon, citric acid) is one of England's most beloved summer drinks; elderflower 'champagne' (a lightly fermented drink) and elderflower fritters are summer traditions. The berries are made into elderberry syrup (rich in anthocyanins and vitamin C, widely sold as an immune-support supplement), elderberry wine, elderberry jam, and in Scandinavian juices (hyldebær saft). CAUTION: Raw flowers and berries contain mild cyanogenic glycosides — cook berries before eating in quantity; flower clusters are generally safe raw in cordials and wine but not in large raw amounts. The cultivar 'Sambuco' and 'Haschberg' are selected for large berry yields; 'Black Beauty' and 'Black Lace' are ornamental dark-leaved forms.",4-8,moderate,OpenPlantDB (CC0)
Vaccinium fuscatum,Black Highbush Blueberry,berry,native deciduous shrub,12.0,partial,"Plant container shrubs in fall or spring in consistently moist, acidic, well-drained soil in partial shade to full sun; black highbush blueberry is native to wet coastal-plain woodlands and pocosins and tolerates wetter soil than most cultivated blueberries. Vaccinium fuscatum is a tall, southeastern coastal-plain native blueberry with small, urn-shaped white to pink flowers in spring followed by sweet, dark purple-black berries in summer that are edible and attractive to wildlife, growing naturally in the moist, acidic soils of pocosins, bay forests, and wet flatwoods from the Carolinas to the Gulf Coast. Its tolerance for consistently damp soil and light shade makes it a good choice for a rain garden, pond margin, or the moist, partly shaded portion of a mixed berry planting where standard rabbiteye or southern highbush blueberries would struggle. It benefits from a second blueberry species or cultivar nearby for improved pollination and fruit set, following the same acidic-soil culture as other Vaccinium.",6-9,high,OpenPlantDB (CC0)
